,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,32043.96,34090.406,33067.184
1,2025Q3,31974.752,33826.8,32900.777
2,2025Q4,31895.9,33628.914,32762.406
3,2026Q1,32522.082,34185.133,33353.605
4,2026Q2,33218.297,34302.074,33760.184
5,2026Q3,33900.277,35306.363,34603.32
6,2026Q4,34476.074,36420.117,35448.098
7,2027Q1,36876.605,38906.8,37891.703
8,2027Q2,36813.83,38890.875,37852.35
9,2027Q3,36588.324,38563.24,37575.78
10,2027Q4,36021.453,38266.742,37144.098
11,2028Q1,37910.24,40513.703,39211.97
