,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,17729.824,23629.033,20679.43
1,2025Q3,18851.52,22848.13,20849.826
2,2025Q4,18332.545,23773.732,21053.139
3,2026Q1,18672.191,24930.523,21801.357
4,2026Q2,18972.443,24980.775,21976.61
5,2026Q3,20070.496,24333.879,22202.188
6,2026Q4,19510.578,25324.219,22417.398
7,2027Q1,19630.328,27169.604,23399.965
8,2027Q2,20821.604,25408.479,23115.041
9,2027Q3,21259.021,25378.893,23318.957
10,2027Q4,22690.805,27033.566,24862.186
11,2028Q1,22280.865,32055.389,27168.127
