,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,16484.295,19660.318,18072.307
1,2025Q3,17022.926,19166.639,18094.781
2,2025Q4,17088.537,19556.514,18322.525
3,2026Q1,17091.357,20445.527,18768.443
4,2026Q2,17378.62,19674.137,18526.379
5,2026Q3,18406.09,19813.027,19109.559
6,2026Q4,17660.102,21236.172,19448.137
7,2027Q1,18961.986,22628.057,20795.021
8,2027Q2,18861.79,22422.322,20642.055
9,2027Q3,19095.46,21906.61,20501.035
10,2027Q4,18951.77,21734.975,20343.371
11,2028Q1,19763.938,23400.533,21582.236
