,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,12499.934,16898.201,14699.066
1,2025Q3,13177.126,16936.754,15056.94
2,2025Q4,13594.942,18373.28,15984.111
3,2026Q1,14782.189,18946.436,16864.312
4,2026Q2,14943.703,19745.271,17344.488
5,2026Q3,15391.57,20170.2,17780.885
6,2026Q4,15806.863,19713.627,17760.246
7,2027Q1,16263.667,20299.824,18281.746
8,2027Q2,16382.78,20013.412,18198.096
9,2027Q3,16487.861,21272.268,18880.064
10,2027Q4,17290.219,22437.014,19863.617
11,2028Q1,18144.215,24989.838,21567.027
