,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,27820.938,30629.941,29225.44
1,2025Q3,28238.854,30172.188,29205.521
2,2025Q4,28253.662,30274.379,29264.021
3,2026Q1,28350.184,31767.012,30058.598
4,2026Q2,28189.959,31205.512,29697.736
5,2026Q3,28114.506,31984.67,30049.588
6,2026Q4,29127.922,32518.627,30823.273
7,2027Q1,30578.348,34689.59,32633.969
8,2027Q2,30899.34,33347.395,32123.367
9,2027Q3,29998.709,32427.926,31213.318
10,2027Q4,30046.498,32527.082,31286.79
11,2028Q1,31436.178,35475.246,33455.71
