,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,19391.125,22130.494,20760.81
1,2025Q3,19470.354,22428.818,20949.586
2,2025Q4,19745.12,22442.484,21093.8
3,2026Q1,20752.773,22890.355,21821.564
4,2026Q2,20953.22,22871.014,21912.117
5,2026Q3,20419.592,23567.865,21993.729
6,2026Q4,21452.35,23455.627,22453.988
7,2027Q1,22094.848,24831.844,23463.346
8,2027Q2,22215.893,24481.521,23348.707
9,2027Q3,22201.395,24206.059,23203.727
10,2027Q4,22086.186,24022.32,23054.254
11,2028Q1,22542.838,25631.225,24087.031
