,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,31296.742,36248.117,33772.43
1,2025Q3,31751.055,35060.535,33405.793
2,2025Q4,31398.084,34950.426,33174.254
3,2026Q1,32187.814,35693.934,33940.875
4,2026Q2,32694.102,35248.215,33971.16
5,2026Q3,32686.41,36345.555,34515.98
6,2026Q4,33018.285,37159.688,35088.984
7,2027Q1,34720.11,38888.066,36804.09
8,2027Q2,34908.887,38941.64,36925.26
9,2027Q3,35573.465,38668.027,37120.746
10,2027Q4,35303.91,39076.113,37190.01
11,2028Q1,36138.56,40854.164,38496.363
