,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q1,314.593,627.5876,471.09027
1,2025Q2,353.9183,582.1579,468.0381
2,2025Q3,381.08408,573.1374,477.11072
3,2025Q4,427.0511,711.41785,569.23444
4,2026Q1,957.86566,1130.3445,1044.1051
5,2026Q2,1057.8319,1293.7388,1175.7854
6,2026Q3,1016.6242,1386.5792,1201.6017
7,2026Q4,914.38464,1356.8582,1135.6213
8,2027Q1,1390.5874,1711.712,1551.1497
9,2027Q2,1561.8335,1853.3569,1707.5952
10,2027Q3,1832.9003,2119.635,1976.2676
11,2027Q4,1955.9816,2458.6272,2207.3044
