,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q4,-176.01794,1731.1533,777.5677
1,2026Q1,596.97894,1673.0928,1135.0359
2,2026Q2,514.6865,1878.4031,1196.5448
3,2026Q3,361.4055,1896.694,1129.0498
4,2026Q4,501.49014,1855.5121,1178.5012
5,2027Q1,725.27905,2764.2778,1744.7784
6,2027Q2,468.5109,2933.4705,1700.9907
7,2027Q3,1152.6033,3005.6125,2079.108
8,2027Q4,1112.2021,3025.0452,2068.6235
9,2028Q1,1337.567,3107.0015,2222.2844
10,2028Q2,1454.0745,2541.7166,1997.8955
11,2028Q3,1463.2944,2505.5894,1984.442
