,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q4,414.76465185043634,823.7549491345823,619.2598004925093
1,2026Q1,730.6960442824321,1267.7934210150365,999.2447326487343
2,2026Q2,768.2770986842364,1333.8812622116666,1051.0791804479516
3,2026Q3,878.5759253863022,1410.4043414534074,1144.4901334198548
4,2026Q4,1162.5508600250876,1654.3843125633332,1408.4675862942104
5,2027Q1,1407.7926485135347,1868.738492251184,1638.2655703823593
6,2027Q2,1523.7355626736423,1920.8999258195474,1722.3177442465949
7,2027Q3,1570.7298587803236,2058.9498717527454,1814.8398652665346
8,2027Q4,1647.1627277416237,2153.6880128503344,1900.425370295979
9,2028Q1,2366.7049253695614,4025.3018569981764,3196.0033911838686
10,2028Q2,2251.109708674864,4130.251948723319,3190.6808286990918
11,2028Q3,2266.0551871569287,3952.8483464374704,3109.4517667971995
