,Year,Month,Points
0,2012,7,1572
1,2012,8,1836
2,2012,9,1860
3,2012,10,1794
4,2012,11,1525
5,2012,12,1845
6,2013,1,1548
7,2013,2,1817
8,2013,3,1906
9,2013,4,1595
10,2013,5,1550
11,2013,8,1665
12,2013,9,1777
13,2013,10,1887
14,2013,11,0
15,2013,12,2011
16,2014,1,1818
17,2014,2,2126
18,2014,3,2186
19,2014,4,2102
20,2014,5,2
21,2014,6,1920
22,2014,7,2290
23,2014,8,2372
24,2014,9,2425
25,2014,10,2233
26,2014,12,2240
27,2015,1,2146
28,2015,2,2318
29,2015,3,2488
30,2015,5,2127
31,2015,6,2157
32,2015,7,2379
33,2015,8,2530
34,2015,9,2248
35,2015,10,2366
36,2015,11,2152
37,2015,12,2134
38,2016,1,1905
39,2016,2,2177
40,2016,3,2455
41,2016,4,2421
42,2016,6,2183
43,2016,7,2757
44,2016,8,2650
45,2016,9,2533
46,2016,10,2627
47,2016,11,2587
48,2016,12,2662
49,2017,1,2678
50,2017,2,2638
51,2017,3,2678
52,2017,4,2680
53,2017,5,2364
54,2017,7,3017
55,2017,8,2892
56,2017,9,3231
57,2017,11,2981
58,2017,12,2872
59,2018,1,2835
60,2018,3,3166
61,2018,4,3382
62,2018,5,2917
63,2018,6,3441
64,2018,7,3206
65,2018,8,4
66,2018,9,2
67,2018,10,2792
68,2018,11,2813
69,2018,12,2597
70,2019,1,2402
71,2019,2,2425
72,2019,3,2797
73,2019,4,2700
74,2019,5,2425
75,2019,6,2954
76,2019,7,3181
77,2019,8,3299
78,2019,9,3008
79,2019,10,2913
80,2019,11,2801
81,2019,12,2718
82,2020,1,2875
83,2020,2,2750
84,2020,3,1936
85,2020,4,1936
86,2020,5,2159
87,2020,6,2592
88,2020,7,2391
89,2020,8,2671
90,2020,9,2426
91,2020,10,2658
92,2020,11,2717
93,2020,12,2456
94,2021,1,2529
95,2021,2,2555
96,2021,3,2483
97,2021,4,2246
98,2021,5,2653
99,2021,6,2621
100,2021,7,2810
101,2021,9,2593
102,2021,10,2509
103,2021,11,2619
104,2021,12,2544
105,2022,1,2329
106,2022,2,2739
107,2022,4,2679
108,2022,5,2772
109,2022,6,4
110,2022,7,1
111,2022,8,2783
112,2022,9,2614
113,2022,10,2954
114,2022,11,3025
115,2022,12,3189
116,2023,1,3493
117,2023,2,3518
118,2023,3,3408
119,2023,4,3652
120,2023,5,3619
121,2023,6,3413
122,2023,7,3647
123,2023,8,4
124,2023,9,4049
125,2023,10,4
126,2023,11,4434
127,2023,12,7
128,2024,1,5236
129,2024,2,4912
130,2024,3,4747
131,2024,4,1
132,2024,6,5080
133,2024,7,5370
134,2024,8,5682
135,2024,10,5510
136,2024,11,5438
