,,Central Bank of Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Liquidity and Counterpart Assets*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic Liquidity and Counterpart Assets*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(L.E. mn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LE mn ),,,,,,,,,,,,,,,,,,,,,,(LE mn ),,,,,,(LE mn ),,,,,,,,,(LE mn ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of,,,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2005,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
,,,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Domestic Liquidity (M2),,,447171,450914,458404,464369,468261,469567,474100,479063,484156,490130,493884,505899,512730,514822,516716,518905,522296,528828,534409,534663,545907,551179,560356,567104,574499,582226,588952,587340,601309,596701,604683,610452,619179,650023,662688,671041,676909,681900,689933,704631,716275,724715,738454,756553,760927,762182,766664,775261,781199,777871,780543,784801,791378,793354,799754,808603,812410,826847,831211,835457,836503,847808,847757,854057,866354,867734,875586,888176,890376,896033,917459,922637,935234,948172,961244,963255,973962,969712,982547,988076,986792,994431,1009411,1018926,1024359,1024430,1030934,1031696,1038871,1043877,1050128,1054996,1058770,1067581,1094408,1101874,1115267,1124332,1144653,1147497,1167160,1198095,1211317,1236938,1252861,1268513,1296086,1316054,1329492,1334967,1348484,1360134,1387688,1398255,1417624,1438421,1459568,1484420,1516601,1545031,1557379,1543756,1560327,1572950,1606505,1627547,1637378,1682225+,1700416,1720048,1765492,1799490,1819118,1850305,1868174,1876828,1905464,1909422,1922685,1987839,2006632,2044293,2094500,2119715,2151648,2183148,2198196,2601171,2648595,2701634,2627193,2743818,2784571,2849601,2918193,2940815,3003886,3050373,3088052,3140629,3202657,3254247,3294896,3343484,3379461,3401360,3454321,3466152,3515419,3549306,3563376,3581583,3628681,3640093,3674700,3724689,3762427,3796864,3863642,3884855,3929472,4010381,4024016,4053149,4110516,4140451,4186575,4276765,4353065,4451434,4538808,4627173,4682128,4757180,4805875,4845958,4920525,4959491,5023185,5131876,5184027,5257355,5356609,5425832,5490613,5574011,5651909,5740127,5822649,5876621,5948841,6280452,6416251,6500587,6614488,6708871,6808405,6949656,7181661,7317012,7402740,7710432,7822810,7965913,8069151,8140532,8248189,8343414,8467486,8551079,8682319,8787887,8877594
Money Supply (M1),,,80291,80660,83427,84448,83450,87755,87226,86023,87388,88338,89685,93547,97698,99928,100108,99680,100712,103456,102717,103322,106158,106256,109274,114518,115626,117291,120215,117687,121342,118981,121219,123592,126096,126596,131290,136849,139311,141922,144755,149178,151800,152671,157366,158134,165814,170621,170579,170959,175365,177641,172849,176249,174460,172148,171265,173228,176539,180164,182991,185793,187894,192759,192609,198403,196973,197256,199684,201868,205416,204718,214040,213291,218489,220472,222674,224890,223456,229528,239401,240814,241864,244041,248707,254288,260197,253802,259887,258379,255581,258977,258736,260681,262693,264626,274510,278388,283817,282854,291684,287886,288139,304502,308786,326547,328679,331757,344100,353844,362971,365745,369024,369561,373624,377041,378314,388665,394139,401254,410554,427864,425822,428200,431396,434117,445733,447004,450816,459136,465730,476647,499065,502537,506834,521285,519344,515069,520592,517932,522455,529845,540172,552971,572935,578502,594095,607158,613309,621455,625670,622405,633993,631016,654166,684278,707427,698360,718759,738456,724799,727439,737469,745212,743810,765087,781231,798581,820574,814404,838278,840103,829155,827624,836045,832444,840540,862588,881297,909143,923562,925196,946749,954730,953456,961117,968459,987293,1003150,1032373,1056097,1095738,1084742,1125021,1120418,1134247,1141876,1133519,1143543,1151982,1145867,1189493,1196863,1226437,1255198,1285767,1308371,1329637,1346055,1361886,1382346,1380628,1399814,1469458,1478481,1497290,1545378,1575696,1613238,1685188,1662795,1695109,1739622,1643123,1695436,1845134,1904572,1975418,2060944,2097790,2147789,2162430,2265982,2334979,2370157
Currency in circulation outside the banking system,,,57713,57666,58784,60111,59426,61995,60976,60679,61774,62498,63029,65888,65973,66335,69703,68806,68960,70308,69609,70258,70857,72678,74239,78276,77862,78481,80552,79859,83054,80812,81176,83332,83700,85301,86860,90594,91328,92244,94244,95062,96677,97182,97446,98596,100554,104189,104656,107572,108835,112984,112561,113757,114036,112724,112232,112986,114214,117238,118146,122161,122890,127479,126066,131081,126666,126332,127972,128433,130271,133082,135209,139528,141715,143799,142783,145053,143633,145857,161818,163489,165003,167450,167887,171046,178363,174133,176900,178162,176578,179598,179176,180637,181415,187396,194027,196361,202586,198097,205080,202783,205020,215999,218585,221364,225501,231575,241011,250930,258602,257206,258332,254057,251050,255208,255111,255886,259294,267732,270856,285445,280412,281186,277725,275224,277159,279570,278661,278439,282744,287834,292699,306870,301090,311317,308321,303779,305061,305973,305726,312214,322059,329591,346853,352544,362916,370130,373333,378950,381444,378765,384140,385107,387505,404614,419058,411041,425620,416114,408915,409786,407802,408659,410336,416528,419712,435852,438857,438067,452659,443526,440710,440189,441935,443936,444330,450993,463481,494995,487233,490244,502064,499340,501715,503145,507118,515814,521336,548036,581452,606870,602732,636046,613553,610732,611975,606868,611203,617424,619386,626840,646457,675039,673367,699470,691590,693110,693910,696289,701882,707843,708338,717204,775260,767401,778603,800997,798274,797231,806991,811168,831226,797112,812661,859578,926677,959948,1009166,991930,997590,1007317,1037685,1062699,1068976
Demand deposits in local currency,,,22578,22994,24643,24337,24024,25760,26250,25344,25614,25840,26656,27659,31725,33593,30405,30874,31752,33148,33108,33064,35301,33578,35035,36242,37764,38810,39663,37828,38288,38169,40043,40260,42396,41295,44430,46255,47983,49678,50511,54116,55123,55489,59920,59538,65260,66432,65923,63387,66530,64657,60288,62492,60424,59424,59033,60242,62325,62926,64845,63632,65004,65280,66543,67322,70307,70924,71712,73435,75145,71636,78831,73763,76774,76673,79891,79837,79823,83671,77583,77325,76861,76591,80820,83242,81834,79669,82987,80217,79003,79379,79560,80044,81278,77230,80483,82027,81231,84757,86604,85103,83119,88503,90201,105183,103178,100182,103089,102914,104369,108539,110692,115504,122574,121833,123203,132779,134845,133522,139698,142419,145410,147014,153671,158893,168574,167434,172155,180697,182986,188813,206366,195667,205744,209968,211023,211290,215531,211959,216729,217631,218113,223380,226082,225958,231179,237028,239976,242505,244226,243640,249853,245909,266661,279664,288369,287319,293139,322342,315884,317653,329667,336553,333474,348559,361519,362729,381717,376337,385619,396577,388445,387435,394110,388508,396210,411595,417816,414148,436329,434952,444685,455390,451741,457972,461341,471479,481814,484337,474645,488868,482010,488975,506865,523515,529901,526651,532340,534558,526481,562653,550406,551398,581831,586297,616781,636527,652145,665597,680464,672785,691476,752254,703221,729889,766775,774699,814964,887957,855804,883941,908396,846011,882775,985556,977895,1015470,1051778,1105860,1150199,1155113,1228297,1272280,1301181
