,,,
Date,Currency,Buy,Sell
10/06/2025,US Dollar,49.4714,49.5694
04/06/2025,US Dollar,49.5889,49.6889
03/06/2025,US Dollar,49.6289,49.7289
02/06/2025,US Dollar,49.6372,49.7372
01/06/2025,US Dollar,49.6531,49.7514
29/05/2025,US Dollar,49.6983,49.7983
28/05/2025,US Dollar,49.7511,49.8511
27/05/2025,US Dollar,49.7474,49.8474
26/05/2025,US Dollar,49.7826,49.8826
25/05/2025,US Dollar,49.8464,49.9464
22/05/2025,US Dollar,49.8506,49.9505
21/05/2025,US Dollar,49.8063,49.9063
20/05/2025,US Dollar,49.8478,49.9478
19/05/2025,US Dollar,49.9994,50.0994
18/05/2025,US Dollar,50.0606,50.1606
15/05/2025,US Dollar,50.1000,50.1994
14/05/2025,US Dollar,50.3446,50.4446
13/05/2025,US Dollar,50.3957,50.4957
12/05/2025,US Dollar,50.4529,50.5529
11/05/2025,US Dollar,50.5567,50.6558
08/05/2025,US Dollar,50.5720,50.6710
07/05/2025,US Dollar,50.5720,50.6710
06/05/2025,US Dollar,50.6114,50.7114
05/05/2025,US Dollar,50.6300,50.7300
04/05/2025,US Dollar,50.6677,50.7677
30/04/2025,US Dollar,50.7467,50.8467
29/04/2025,US Dollar,50.7557,50.8557
28/04/2025,US Dollar,50.7637,50.8637
27/04/2025,US Dollar,50.8883,50.9878
23/04/2025,US Dollar,50.8986,50.9986
22/04/2025,US Dollar,50.9837,51.0837
17/04/2025,US Dollar,51.0681,51.1681
16/04/2025,US Dollar,51.0503,51.1503
15/04/2025,US Dollar,50.9411,51.0411
14/04/2025,US Dollar,50.9492,51.0492
13/04/2025,US Dollar,51.1866,51.2860
10/04/2025,US Dollar,51.2914,51.3909
09/04/2025,US Dollar,51.6294,51.7297
08/04/2025,US Dollar,51.2143,51.3134
07/04/2025,US Dollar,51.3471,51.4471
06/04/2025,US Dollar,51.0728,51.1728
03/04/2025,US Dollar,50.5474,50.6474
27/03/2025,US Dollar,50.5291,50.6291
26/03/2025,US Dollar,50.5000,50.6000
25/03/2025,US Dollar,50.5309,50.6309
24/03/2025,US Dollar,50.5611,50.6611
23/03/2025,US Dollar,50.6022,50.7022
20/03/2025,US Dollar,50.5161,50.6161
19/03/2025,US Dollar,50.5933,50.6933
18/03/2025,US Dollar,50.4289,50.5289
17/03/2025,US Dollar,50.4581,50.5581
16/03/2025,US Dollar,50.5414,50.6414
13/03/2025,US Dollar,50.6008,50.7008
12/03/2025,US Dollar,50.6320,50.7320
11/03/2025,US Dollar,50.5575,50.6575
10/03/2025,US Dollar,50.5561,50.6561
09/03/2025,US Dollar,50.5889,50.6886
06/03/2025,US Dollar,50.6434,50.7434
05/03/2025,US Dollar,50.6309,50.7309
04/03/2025,US Dollar,50.5947,50.6947
03/03/2025,US Dollar,50.6053,50.7053
02/03/2025,US Dollar,50.6058,50.7058
27/02/2025,US Dollar,50.6100,50.7100
26/02/2025,US Dollar,50.5425,50.6425
25/02/2025,US Dollar,50.5450,50.6450
24/02/2025,US Dollar,50.5646,50.6646
23/02/2025,US Dollar,50.5246,50.6243
20/02/2025,US Dollar,50.5140,50.6140
19/02/2025,US Dollar,50.5514,50.6514
18/02/2025,US Dollar,50.6060,50.7069
17/02/2025,US Dollar,50.5603,50.6606
16/02/2025,US Dollar,50.5777,50.6786
13/02/2025,US Dollar,50.5974,50.6974
12/02/2025,US Dollar,50.5760,50.6760
11/02/2025,US Dollar,50.4122,50.5122
10/02/2025,US Dollar,50.2371,50.3374
09/02/2025,US Dollar,50.2260,50.3260
06/02/2025,US Dollar,50.2492,50.3489
05/02/2025,US Dollar,50.2667,50.3667
04/02/2025,US Dollar,50.2580,50.3580
03/02/2025,US Dollar,50.2978,50.3978
02/02/2025,US Dollar,50.1789,50.2789
30/01/2025,US Dollar,50.1883,50.2883
29/01/2025,US Dollar,50.1817,50.2814
28/01/2025,US Dollar,50.1551,50.2551
27/01/2025,US Dollar,50.2011,50.3011
26/01/2025,US Dollar,50.2064,50.3064
23/01/2025,US Dollar,50.2361,50.3361
22/01/2025,US Dollar,50.2706,50.3706
21/01/2025,US Dollar,50.2375,50.3364
20/01/2025,US Dollar,50.2625,50.3622
19/01/2025,US Dollar,50.3025,50.4019
16/01/2025,US Dollar,50.3325,50.4297
15/01/2025,US Dollar,50.3851,50.4849
14/01/2025,US Dollar,50.4060,50.5060
13/01/2025,US Dollar,50.4636,50.5636
12/01/2025,US Dollar,50.5177,50.6177
09/01/2025,US Dollar,50.5197,50.6197
08/01/2025,US Dollar,50.5506,50.6497
06/01/2025,US Dollar,50.6069,50.7061
05/01/2025,US Dollar,50.6069,50.7061
02/01/2025,US Dollar,50.7226,50.8226
31/12/2024,US Dollar,50.7866,50.8866
30/12/2024,US Dollar,50.7900,50.8900
29/12/2024,US Dollar,50.8046,50.9046
26/12/2024,US Dollar,50.8309,50.9306
25/12/2024,US Dollar,50.8583,50.9580
24/12/2024,US Dollar,50.8550,50.9547
23/12/2024,US Dollar,51.0244,51.1242
22/12/2024,US Dollar,50.8700,50.9697
19/12/2024,US Dollar,50.8671,50.9666
18/12/2024,US Dollar,50.8240,50.9240
17/12/2024,US Dollar,50.7436,50.8436
16/12/2024,US Dollar,50.7666,50.8666
15/12/2024,US Dollar,50.7489,50.8489
12/12/2024,US Dollar,50.7946,50.8943
11/12/2024,US Dollar,50.6022,50.7019
10/12/2024,US Dollar,50.4094,50.5094
09/12/2024,US Dollar,50.4617,50.5617
08/12/2024,US Dollar,50.1883,50.2881
05/12/2024,US Dollar,49.9480,50.0480
04/12/2024,US Dollar,49.7561,49.8558
03/12/2024,US Dollar,49.6853,49.7850
02/12/2024,US Dollar,49.6619,49.7617
01/12/2024,US Dollar,49.5380,49.6377
28/11/2024,US Dollar,49.5458,49.6458
27/11/2024,US Dollar,49.6183,49.7181
26/11/2024,US Dollar,49.5449,49.6446
25/11/2024,US Dollar,49.5629,49.6626
24/11/2024,US Dollar,49.6111,49.7111
21/11/2024,US Dollar,49.6247,49.7247
20/11/2024,US Dollar,49.6878,49.7875
19/11/2024,US Dollar,49.4822,49.5819
18/11/2024,US Dollar,49.3806,49.4803
17/11/2024,US Dollar,49.3239,49.4236
