Date,Value
2004-01-01,14237
2004-02-01,14237
2004-03-01,14329
2004-04-01,14305
2004-05-01,14419
2004-06-01,14351
2004-07-01,14351
2004-08-01,14602
2004-09-01,14675
2004-10-01,14785
2004-11-01,14975
2004-12-01,15427
2005-01-01,16559
2005-02-01,17320
2005-03-01,18043
2005-04-01,18470
2005-05-01,18712
2005-06-01,19302
2005-07-01,20251
2005-08-01,20705
2005-09-01,21100
2005-10-01,21213
2005-11-01,21212
2005-12-01,21890
2006-01-01,22129
2006-02-01,22365
2006-03-01,22537
2006-04-01,22794
2006-05-01,22860
2006-06-01,22931
2006-07-01,23051
2006-08-01,23935
2006-09-01,24065
2006-10-01,24392
2006-11-01,24901
2006-12-01,26045
2007-01-01,26089
2007-02-01,26216
2007-03-01,26312
2007-04-01,27082
2007-05-01,28036
2007-06-01,28559
2007-07-01,29581
2007-08-01,29665
2007-09-01,29881
2007-10-01,30921
2007-11-01,31495
2007-12-01,31681
2008-01-01,32206
2008-02-01,32915
2008-03-01,33705
2008-04-01,33810
2008-05-01,34102
2008-06-01,34572
2008-07-01,34683
2008-08-01,34819
2008-09-01,35024
2008-10-01,35031
2008-11-01,34405
2008-12-01,34112
2009-01-01,33431
2009-02-01,33053
2009-03-01,32177
2009-04-01,31189
2009-05-01,31208
2009-06-01,31310
2009-07-01,31626
2009-08-01,32914
2009-09-01,33508
2009-10-01,34026
2009-11-01,34163
2009-12-01,34163
2010-01-01,34211
2010-02-01,34324
2010-03-01,34508
2010-04-01,34654
2010-05-01,35100
2010-06-01,35221
2010-07-01,35278
2010-08-01,35527
2010-09-01,35534
2010-10-01,35571
2010-11-01,35571
2010-12-01,36005
2011-01-01,35007
2011-02-01,33321
2011-03-01,30106
2011-04-01,28024
2011-05-01,27228
2011-06-01,26564
2011-07-01,25706
2011-08-01,25008
2011-09-01,24009
2011-10-01,22072
2011-11-01,15036
2011-12-01,18119
2012-01-01,16354
2012-02-01,15718
2012-03-01,15119
2012-04-01,15213
2012-05-01,15515
2012-06-01,15534
2012-07-01,14422
2012-08-01,15127
2012-09-01,15043
2012-10-01,15484
2012-11-01,15036
2012-12-01,15015
2013-01-01,13613
2013-02-01,13508
2013-03-01,13424
2013-04-01,14426
2013-05-01,16039
2013-06-01,14936
2013-07-01,18890
2013-08-01,18924
2013-09-01,18709
2013-10-01,18590
2013-11-01,17766
2013-12-01,17032
2014-01-01,17105
2014-02-01,17307
2014-03-01,17414
2014-04-01,17489
2014-05-01,17284
2014-06-01,16687
2014-07-01,16737
2014-08-01,16836
2014-09-01,16872
2014-10-01,16909
2014-11-01,15882
2014-12-01,15333
2015-01-01,15429
2015-02-01,15456
2015-03-01,15291
2015-04-01,20525
2015-05-01,19560
2015-06-01,20082
2015-07-01,18536
2015-08-01,18096
2015-09-01,16335
2015-10-01,16415
2015-11-01,16423
2015-12-01,16445
2016-01-01,16478
2016-02-01,16534
2016-03-01,16561
2016-04-01,17011
2016-05-01,17521
2016-06-01,17546
2016-07-01,15537
2016-08-01,16564
2016-09-01,19592
2016-10-01,19041
2016-11-01,23058
2016-12-01,24265
2017-01-01,26363
2017-02-01,26542
2017-03-01,28526
2017-04-01,28641
2017-05-01,31126
2017-06-01,31305
2017-07-01,36036
2017-08-01,36143
2017-09-01,36535
2017-10-01,36703
2017-11-01,36723
2017-12-01,37020
2018-01-01,38210
2018-02-01,42524
2018-03-01,42611
2018-04-01,44030
2018-05-01,44139
2018-06-01,44259
2018-07-01,44315
2018-08-01,44419
2018-09-01,44459
2018-10-01,44501
2018-11-01,44513
2018-12-01,42551
2019-01-01,42617
2019-02-01,44060
2019-03-01,44112
2019-04-01,44218
2019-05-01,44275
2019-06-01,44481
2019-07-01,45037
2019-08-01,45090
2019-09-01,45118
2019-10-01,45247
2019-11-01,45354
2019-12-01,45420
2020-01-01,45457
2020-02-01,45510
2020-03-01,40108
2020-04-01,37037
2020-05-01,36004
2020-06-01,38176
2020-07-01,38258
2020-08-01,38310
2020-09-01,38425
2020-10-01,39220
2020-11-01,39222
2020-12-01,40063
2021-01-01,40101
2021-02-01,40201
2021-03-01,40337
2021-04-01,40343
2021-05-01,40468
2021-06-01,40584
2021-07-01,40609
2021-08-01,40672
2021-09-01,40825
2021-10-01,40849
2021-11-01,40909
2021-12-01,40935
2022-01-01,40980
2022-02-01,40994
2022-03-01,37082
2022-04-01,37124
2022-05-01,35495
2022-06-01,33380
2022-07-01,33158
2022-08-01,33142
2022-09-01,33198
2022-10-01,33411
2022-11-01,33532
2022-12-01,34003
2023-01-01,34224
2023-02-01,34352
2023-03-01,34447
2023-04-01,34551
2023-05-01,34660
2023-06-01,34828
2023-07-01,34879
2023-08-01,34928
2023-09-01,34970
2023-10-01,35102
2023-11-01,35173
2023-12-01,35220
2024-01-01,35250
2024-02-01,35311
2024-03-01,40361
2024-04-01,41057
2024-05-01,46126
2024-06-01,46385
2024-07-01,46489
2024-08-01,46597
2024-09-01,46737
2024-10-01,46942
2024-11-01,46952
2024-12-01,47109
2025-01-01,47265
2025-02-01,47394
2025-03-01,47757
2025-04-01,48144
2025-05-01,48526
