"Indicator","Source","Unit","Quarter","Year","Agriculture","Petroleum","Natural Gas","Other Extractions","Petroleum Refining","Other Manufacturing","Electricity","Water And Sewerage","Construction","Storage And Transportation","Information And Communication","Suez Canal","Wholesale And RetailTrade","Financial Intermediary Insurance And Social Security","Accommodation And Food Service Activities","Real Estate Activities","Education","Health","Other Srvices","Total Public Investments"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2025/2024","3117.9","3092.9","1279.1","281.1","3165.5","9883.7","22258.5","12990.8","4425.3","75296.7","9027.8","6986","217.9","1420","95.6","16599.9","13320.9","9145.4","11280.7","203885.7"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2025/2024","1615.8","1766.5","419","2.6","2388.4","4400.4","11112.8","5666.4","1073.1","35063.3","2647.4","1800","100.6","50.5","86.4","7005.3","13948.1","2242.9","8387.5","99777"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2024/2023","10204.5","21704.6","2328.2","170.5","3378.2","3304.9","75238.3","21630.2","7433.4","91202.4","6208.4","3381.3","236.1","595.5","23.8","7413.2","13724","10403.5","15668.4","294249.4"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2024/2023","8209.2","16978.3","3810.3","161.5","6080.3","3156.2","40097.5","29311.7","6117","56665.1","10038.2","5873.1","438.4","1979.8","224.8","6483.5","13859.4","8403","19088.7","236976"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2024/2023","12309.4","13708.8","2241.9","13.1","2153.7","2255.5","30150","26142.2","5022.8","51989","8579.2","4993.3","150.9","1189","107.7","10352.9","14061.5","12465.4","16351.2","214237.5"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2024/2023","8035.9","9309.2","3728.2","10.5","1126.2","7206.8","21661.7","18244.6","2735.3","49050.2","7357.3","4453.3","104.3","1609.5","76.8","10161.2","11661","8610.8","15307.1","180449.9"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q4","2023/2022","6732.9","25708.2","2604.6","74.8","5263.7","4226.6","25455.3","27785.5","4241.1","72141.7","7022.1","5190.4","383.1","828.4","74.5","6457.7","26709.3","9041","47728.1","277669"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q3","2023/2022","7592.4","12786.9","1863.6","66.3","3508.4","5681.2","25488.4","24016.5","4316.1","60698.6","7754.2","5646.5","320.9","798.2","99.1","7695.4","11176.3","8765.5","38122.6","226397.1"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q2","2023/2022","9083","5992","1878","47","2386","6886","24474","20213","4871","54553","6110","4884","297","723","76","7924","15653","7271","30733","204051"
"Public investments at current prices","Ministry of Planning and Economic Development","Million EGP","Q1","2023/2022","8370","4046.9","1461.6","31.1","1385.7","6217.4","19671.4","14634","4507.6","43348.8","7332.3","4101.1","231","871.9","129.8","6975","12466.8","4468.8","22953.6","163204.8"
