Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5082607,شقه للبيع في شاطئ الصفا,"350,000 EGP",Abu Talat,2,1,90,5,Super Lux,Other,2010,Cash,Broker,,https://aqarmap.com.eg/en/listing/5082607-for-sale-alexandria-abu-talat/
EG-5109452,شقه للبيع شارع عمومى,"350,000 EGP",Abu Talat,2,1,120,1,Lux,Other,2018,Cash,Broker,,https://aqarmap.com.eg/en/listing/5109452-for-sale-alexandria-abu-talat/
EG-4882374,Apartments For sale in Abu Talat,"350,000 EGP",Abu Talat,2,1,90,5,Semi Finished,Sea View,2013,Cash,Private Owner,Hisham Soliman,https://aqarmap.com.eg/en/listing/4882374-for-sale-alexandria-abu-talat/
EG-5113289,للبيع ستوديو65 متر بابو تلات برج حديث صف اول على البحر بجميع الأجهزة و الفرش,"300,000 EGP",Abu Talat,1,1,65,1,Lux,Sea View,2010,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5113289-for-sale-alexandria-abu-talat/
EG-5086894,شقة في الاسكندرية للبيع ابو تلات,"450,000 EGP",Abu Talat,3,2,90,4,Super Lux,Main Street,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5086894-for-sale-alexandria-abu-talat/
EG-4738539,Apartments For sale in Abu Talat,"500,000 EGP",Abu Talat,3,1,135,2,Lux,Corner,2024,Cash,Private Owner,طارق رمضان عطيفه,https://aqarmap.com.eg/en/listing/4738539-for-sale-alexandria-abu-talat/
EG-5169986,شقة فاخرة للبيع بشاطئ الأهرام,"640,000 EGP",Abu Talat,2,1,80,6,Super Lux,Sea View,1999,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5169986-for-sale-alexandria-abu-talat/
EG-5022339,شقه للبيع بسعر 130م,"500,000 EGP",Abu Talat,3,1,130,1,Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5022339-for-sale-alexandria-abu-talat/
EG-5012299,شقه للبيع بالاسكندريه ابو تلات ثالث ش قبل البحر,"500,000 EGP",Abu Talat,3,1,130,1,Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5012299-for-sale-alexandria-abu-talat/
EG-5065377,شقة للبيع 95 متر دور خامس,"450,000 EGP",Abu Talat,2,1,95,5,Super Lux,Other,2021,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5065377-for-sale-alexandria-abu-talat/
EG-5081786,شقه للبيع سوبر لوكس الدور التالت علوي,"270,000 EGP",Abu Talat,2,1,90,3,Super Lux,Other,2021,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5081786-for-sale-alexandria-abu-talat/
EG-5046114,Apartments For sale in Abu Talat,"540,000 EGP",Abu Talat,2,1,130,4,Super Lux,Main Street,2000,Cash,Private Owner,احمد,https://aqarmap.com.eg/en/listing/5046114-for-sale-alexandria-abu-talat/
