Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
,,,,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5206324-projects-jewar-alex/
,,,,,,,,,,,,,,https://aqarmap.com.eg/en/listing/4929467-for-sale-alexandria-borg-el-arab/
EG-5170044,دوبلكس فاخر بحديقة خاصة - تشطيب سوبر لوكس,"1,700,000 EGP",Borg El Arab,3,3,130,1,Super Lux,Other,2015,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5170044-for-sale-alexandria-borg-el-arab/
EG-5194521,,"1,926,000 EGP",Borg El Arab,2,2,107,2,Extra Super Lux,Main Street,2027,Installments,Broker,,https://aqarmap.com.eg/en/listing/5194521-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab-kmbwnd-l-rwb-rwyl/
EG-4928606,شقه للبيع سوبر لوكس تصلح سكن وتصلح للأستثمار,"1,500,000 EGP",Borg El Arab,3,2,120,3,Super Lux,Other,2021,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/4928606-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab/
EG-5022525,Apartments For sale in El Mohandseen Resort,"1,850,000 EGP",Borg El Arab,2,1,88,2,Extra Super Lux,Corner,2020,Cash,Private Owner,Mohamed fawzy,https://aqarmap.com.eg/en/listing/5022525-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab-el-mohandseen-resort/
,,,Borg El Arab,,,,,,,,,,,https://aqarmap.com.eg/en/listing/4934813-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab-el-mohandseen-resort/
,,,Borg El Arab,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5045095-for-sale-alexandria-borg-el-arab-el-mansourya-st/
,,,Borg El Arab,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5174341-for-sale-alexandria-borg-el-arab/
,,,Borg El Arab,,,,,,,,,,,https://aqarmap.com.eg/en/listing/4963633-for-sale-alexandria-borg-el-arab-bahig-st/
,,,Borg El Arab,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5105897-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab-kmbwnd-l-rwb-rwyl/
,,,Borg El Arab,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5041666-for-sale-alexandria-borg-el-arab/
EG-5078256,شقه للبيع بكومباوند مساحة140م,"1,300,000 EGP",Borg El Arab,3,2,140,11,Super Lux,Other,2015,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5078256-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab/
EG-4867667,شقه ١٤٥ متر صافي ٣غرف,"1,500,000 EGP",Borg El Arab,3,2,145,4,Super Lux,Other,2021,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/4867667-for-sale-alexandria-borg-el-arab/
EG-4843410,عبد القادر المســـــــــــاحه: ٨٥متر عــــــ,"500,000 EGP",Borg El Arab,2,1,85,4,Extra Super Lux,Main Street,2017,Cash,Broker,,https://aqarmap.com.eg/en/listing/4843410-for-sale-alexandria-borg-el-arab/
EG-4831295,شقه٦٥ متر للبيع من المالك مباشرتا,"600,000 EGP",Borg El Arab,2,1,65,3,Super Lux,Main Street,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/4831295-for-sale-alexandria-borg-el-arab/
EG-4978912,شقة في كومباوند alex gate للبيع من المالك مباشرة,"700,000 EGP",Borg El Arab,2,1,80,1,Super Lux,Other,2015,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/4978912-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab/
EG-5002818,شقه٨٠ متر للبيع برج للعرب,"1,200,000 EGP",Borg El Arab,2,1,80,1,Super Lux,Main Street,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5002818-for-sale-alexandria-borg-el-arab/
EG-5169798,فرصة لن تتكرر في مدينة برج العرب الجديدة!,"1,200,000 EGP",Borg El Arab,2,1,80,4,Super Lux,Other,2024,Cash,Broker,,https://aqarmap.com.eg/en/listing/5169798-for-sale-alexandria-borg-el-arab/
EG-4135327,Apartments For Sale in El Mohandseen Resort,"2,100,000 EGP",Borg El Arab,3,2,120,Ground,Super Lux,Main Street,2014,Cash,Private Owner,محمود,https://aqarmap.com.eg/en/listing/4135327-for-sale-alexandria-borg-el-arab-compounds-in-borg-el-arab-el-mohandseen-resort/
