Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5171134,Apartments For sale in Port Said Street,"4,200,000 EGP",Camp Cesar,3,2,160,6,Extra Super Lux,Main Street,2005,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5171134-for-sale-alexandria-camp-cesar-port-said-street/
EG-5171428,Apartments For sale in Mamfeis St,"3,700,000 EGP",Camp Cesar,3,2,175,6,Super Lux,Main Street,2024,Cash,Broker,Maran Home,https://aqarmap.com.eg/en/listing/5171428-for-sale-alexandria-camp-cesar-mamfeis-st/
EG-5203313,Apartment for sale - Camp Caesar - Area 175 meters,"3,600,000 EGP",Camp Cesar,3,2,175,6,Lux,Main Street,2011,Cash,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/5203313-for-sale-alexandria-camp-cesar-omar-lotfy-st/
EG-4881854,Apartments For sale in El-Gaish Rd,"7,500,000 EGP",Camp Cesar,3,1,185,7,Super Lux,Sea View,2024,Cash or Installments,Broker,Driven Properties Egypt,https://aqarmap.com.eg/en/listing/4881854-for-sale-alexandria-camp-cesar-el-gaish-rd/
EG-5208545,Apartments For sale in Port Said Street,"4,500,000 EGP",Camp Cesar,3,1,160,6,Lux,Main Street,2016,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5208545-for-sale-alexandria-camp-cesar-port-said-street/
EG-5206547,Apartments For sale in Omar Lotfy St,"5,775,000 EGP",Camp Cesar,3,2,165,6,Super Lux,Other,2017,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5206547-for-sale-alexandria-camp-cesar-omar-lotfy-st/
EG-5208303,Apartments For sale in Port Said Street,"4,700,000 EGP",Camp Cesar,3,2,172,11,Extra Super Lux,Sea View,2010,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5208303-for-sale-alexandria-camp-cesar-port-said-street/
EG-5178576,"Apartment for sale, 240 meters, Al Ibrahimiyya (Colonel Mostafa Muhammad Street)","450,000 EGP",Camp Cesar,5,2,240,1,Super Lux,Main Street,1980,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5178576-for-sale-alexandria-camp-cesar-al-aked-moustafa-mohammed-tawfik-st/
EG-5202781,Apartments For sale in El-Gaish Rd,"4,250,000 EGP",Camp Cesar,3,2,120,13,Super Lux,Main Street,1989,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5202781-for-sale-alexandria-camp-cesar-el-gaish-rd/
EG-5180316,Apartments For sale in Port Said Street,"2,500,000 EGP",Camp Cesar,3,1,100,16,Super Lux,Main Street,2011,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5180316-for-sale-alexandria-camp-cesar-port-said-street/
EG-5208394,Apartments For sale in El-Gaish Rd,"3,500,000 EGP",Camp Cesar,4,2,150,3,Super Lux,Main Street,1979,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5208394-for-sale-alexandria-camp-cesar-el-gaish-rd/
EG-4959252,شقة للبيع 200م كامب شيزار ( بحر مباشر ),"8,500,000 EGP",Camp Cesar,3,2,200,2,Lux,Sea View,2010,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4959252-for-sale-alexandria-camp-cesar-el-gaish-rd/
EG-5208439,Apartments For sale in Port Said Street,"4,500,000 EGP",Camp Cesar,5,2,300,1,Super Lux,Main Street,1988,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5208439-for-sale-alexandria-camp-cesar-port-said-street/
