Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5143646,شقه للبيع بالعامريه,"750,000 EGP",El Amreya,3,1,100,2,Super Lux,Other,2018,Cash,Broker,,https://aqarmap.com.eg/en/listing/5143646-for-sale-alexandria-el-amreya/
EG-4838882,Apartments For sale in El Amreya,"130,000 EGP",El Amreya,2,1,85,4,Lux,Side Street,1998,Cash,Private Owner,Maria Ahmed,https://aqarmap.com.eg/en/listing/4838882-for-sale-alexandria-el-amreya/
EG-5128842,شقه للبيع بالعامريه,"750,000 EGP",El Amreya,3,1,100,2,Super Lux,Other,2017,Cash,Broker,,https://aqarmap.com.eg/en/listing/5128842-for-sale-alexandria-el-amreya/
EG-4970764,Apartments For sale in El Amreya,"450,000 EGP",El Amreya,2,1,80,6,Lux,Sea View,2010,Cash,Private Owner,ناهد سليمان,https://aqarmap.com.eg/en/listing/4970764-for-sale-alexandria-el-amreya/
EG-5181051,شقة للبيع في الكافوري - موقع متميز,"270,000 EGP",El Amreya,3,1,120,1,Super Lux,Other,2016,Cash,Broker,,https://aqarmap.com.eg/en/listing/5181051-for-sale-alexandria-el-amreya/
EG-4096323,مدينة الفردوس ضباط قوات مسلحه مرغم العامريه,"570,000 EGP",El Amreya,2,1,86,Ground,Lux,Main Street,2011,Cash,Private Owner,المالك,https://aqarmap.com.eg/en/listing/4096323-for-sale-alexandria-el-amreya/
EG-5121522,شقه للبيع بالعامريه,"750,000 EGP",El Amreya,3,1,100,2,Super Lux,Other,2016,Cash,Broker,,https://aqarmap.com.eg/en/listing/5121522-for-sale-alexandria-el-amreya/
EG-5133590,شقه للبيع بالاسكندريه العامريه عبد القادر مدينه مبارك,"180,000 EGP",El Amreya,3,1,100,5,Lux,Other,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5133590-for-sale-alexandria-el-amreya/
EG-5149246,? شقة للإيجار القديم - عادل المصري، الزقازيق ?,"70,000 EGP",El Amreya,2,1,80,4,Super Lux,Other,2018,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5149246-for-sale-alexandria-el-amreya/
EG-5181193,شقة للبيع بتشطيب سوبر لوكس!,"150,000 EGP",El Amreya,2,1,68,1,Super Lux,Other,2017,Cash,Broker,,https://aqarmap.com.eg/en/listing/5181193-for-sale-alexandria-el-amreya/
"8,333 EGP/M²",Apartments For sale in El Fardos compound,"750,000 EGP",El Amreya,2,1,90,2,Super Lux,"CBE 3% Initiative, CBE 8% Initiative, Commercial Financing",Garden,2001,Cash,,https://aqarmap.com.eg/en/listing/4775175-for-sale-alexandria-el-amreya/
EG-4799654,Apartments For sale in El Amreya,"570,000 EGP",El Amreya,2,1,86,Ground,Lux,Side Street,2012,Cash,Private Owner,المالك,https://aqarmap.com.eg/en/listing/4799654-for-sale-alexandria-el-amreya/
EG-5130093,شقه للبيع في مدينه الحريه مرغم 85 مترالدور السادس,"370,000 EGP",El Amreya,2,1,85,6,Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5130093-for-sale-alexandria-el-amreya/
EG-4876601,Apartments For sale in El Amreya,"150,000 EGP",El Amreya,2,1,52,4,Semi Finished,Side Street,1995,Cash,Private Owner,على محمد على,https://aqarmap.com.eg/en/listing/4876601-for-sale-alexandria-el-amreya/
EG-5179010,شقة للبيع في مدينة مبارك عبد القادر,"150,000 EGP",El Amreya,3,1,86,5,Super Lux,Main Street,2023,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5179010-for-sale-alexandria-el-amreya/
