Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5158348,"Villa for sale 150 sqm, Al-Maamoura (Al-Zahraa Group)","7,100,000 EGP",El Mamoura,1,2,150,1,Extra Super Lux,Main Street,1995,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5158348-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-5128138,Apartments For sale in El Maamora El Balad,"1,650,000 EGP",El Mamoura,3,2,125,3,Lux,Main Street,2016,Cash,Private Owner,Ahmed Basha,https://aqarmap.com.eg/en/listing/5128138-for-sale-alexandria-lm-mwr-el-maamora-el-balad/
EG-5016338,شقة للبيع داخل المعمورة الشاطئ,"2,500,000 EGP",El Mamoura,3,2,135,5,Super Lux,Garden,1991,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5016338-for-sale-alexandria-lm-mwr-lm-mwr-lshty-el-shorta/
EG-5194568,Apartments For sale in Yousef El Sebaaey,"4,950,000 EGP",El Mamoura,3,1,100,3,Extra Super Lux,Garden,1980,Cash,Private Owner,Mohamed,https://aqarmap.com.eg/en/listing/5194568-for-sale-alexandria-lm-mwr-lm-mwr-lshty-yousef-el-sebaaey/
EG-4636657,Apartments For sale in Kornesh El-Maamoura St,"6,000,000 EGP",El Mamoura,2,2,140,6,Super Lux,Main Street,2021,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/4636657-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-5076734,Apartment for sale 120 m Al-Maamoura Al-Shati (in front of Montazah Gate),"4,000,000 EGP",El Mamoura,2,1,120,6,Super Lux,Main Street,2003,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5076734-for-sale-alexandria-lm-mwr-lm-mwr-lshty-el-nasr-st/
EG-4734637,Apartments For sale in El Maamora El Balad,"1,250,000 EGP",El Mamoura,3,1,125,6,Super Lux,Main Street,2001,Cash,Private Owner,محمد احمد اسماعيل,https://aqarmap.com.eg/en/listing/4734637-for-sale-alexandria-lm-mwr-el-maamora-el-balad/
EG-4850371,Apartments For sale in Yousef Danly,"3,100,000 EGP",El Mamoura,3,2,130,4,Semi Finished,Main Street,1982,Cash,Private Owner,Gamal Soliman,https://aqarmap.com.eg/en/listing/4850371-for-sale-alexandria-lm-mwr-lm-mwr-lshty-yousef-danly/
EG-5201083,Apartment with roof,"3,500,000 EGP",El Mamoura,2,1,112,7,Super Lux,Main Street,1990,Cash,Private Owner,بسنت بكر,https://aqarmap.com.eg/en/listing/5201083-for-sale-alexandria-lm-mwr-lm-mwr-lshty/
EG-4802043,Apartments For sale in Kornesh El-Maamoura St,"4,500,000 EGP",El Mamoura,2,2,125,3,Super Lux,Main Street,2017,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4802043-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-4843464,Apartment for sale 124 m Al-Maamoura AlShataa,"3,300,000 EGP",El Mamoura,2,1,124,1,Super Lux,Main Street,2000,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4843464-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-4783344,Apartments For sale in Galal Zaky,"5,500,000 EGP",El Mamoura,2,2,140,6,Super Lux,Main Street,2022,Cash,Building Developer,RCR Real State,https://aqarmap.com.eg/en/listing/4783344-for-sale-alexandria-lm-mwr-lm-mwr-lshty-galal-zaky/
EG-5206235,Apartment for sale 100 m Maamoura Beach (Beside Al Eslah gate),"2,000,000 EGP",El Mamoura,2,2,100,Ground,Super Lux,Other,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5206235-for-sale-alexandria-lm-mwr-lm-mwr-lshty-el-shorta/
EG-5011960,Apartments For sale in El Tabia,"1,500,000 EGP",El Mamoura,3,2,137,1,Semi Finished,Main Street,2014,Cash,Private Owner,دعاء هشام محمد,https://aqarmap.com.eg/en/listing/5011960-for-sale-alexandria-lm-mwr-el-tabia/
EG-4922510,شقة للبيع 170 م المعمورة الشاطئ (خطوات من البحر) • كود : 022900,"5,750,000 EGP",El Mamoura,3,2,170,7,Super Lux,Sea View,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4922510-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-5137398,شقة للبيع 120م المعمورة الشاطئ (شارع ضيف والي),"3,000,000 EGP",El Mamoura,2,1,120,Ground,Extra Super Lux,Main Street,1995,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5137398-for-sale-alexandria-lm-mwr-lm-mwr-lshty-deif-waly-st/
EG-5162691,Apartments For sale in Kornesh El-Maamoura St,"7,250,000 EGP",El Mamoura,3,2,180,5,Extra Super Lux,Main Street,2002,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5162691-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-4844188,شقة للبيع 180م المعمورة الشاطئ,"5,000,000 EGP",El Mamoura,3,2,180,8,Lux,Main Street,2000,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4844188-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-4869267,Apartments For sale in Kornesh El-Maamoura St,"4,000,000 EGP",El Mamoura,2,2,200,2,Extra Super Lux,Main Street,1990,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/4869267-for-sale-alexandria-lm-mwr-lm-mwr-lshty-kornesh-el-maamoura-st/
EG-4999673,Apartment for sale 90 m Al-Mamoura Al-Shatea (El-Fardous Group),"4,500,000 EGP",El Mamoura,2,1,90,3,Super Lux,Main Street,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4999673-for-sale-alexandria-lm-mwr-lm-mwr-lshty-yousef-el-sebaaey/
EG-5188069,شقة للبيع في المعمورة البلد,"300,000 EGP",El Mamoura,2,1,80,5,Super Lux,Main Street,2021,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5188069-for-sale-alexandria-lm-mwr-el-maamora-el-balad/
