Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5199730,Exclusive Apartment for Sale – Steps from the Sea – Mandara,"4,850,000 EGP",El Mandara,3,2,160,8,Super Lux,Sea View,2013,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5199730-for-sale-alexandria-el-mandara-tryq-ljysh/
EG-5143521,Apartment for sale - Mandara (You see the sea)- area 150 full meters,"3,200,000 EGP",El Mandara,3,2,150,14,Super Lux,Other,2014,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/5143521-for-sale-alexandria-el-mandara/
EG-5155858,Duplex for sale 785m Mandara (Gamal Abdel Nasser Street),"12,000,000 EGP",El Mandara,6,7,785,13,Extra Super Lux,Main Street,1990,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5155858-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5195100,شقة للبيع في المندرة جمال عبد الناصر ترى البحر,"3,250,000 EGP",El Mandara,2,2,115,9,Extra Super Lux,Sea View,1991,Cash,Broker,Mohamed Ibrahim,https://aqarmap.com.eg/en/listing/5195100-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-4907507,Apartments For sale in Nabawy Al Mohandes St,"2,000,000 EGP",El Mandara,2,1,127,5,Super Lux,Main Street,2005,Cash,Private Owner,seif Tarek Morsy,https://aqarmap.com.eg/en/listing/4907507-for-sale-alexandria-el-mandara-nabawy-al-mohandes-st/
EG-5175246,Apartment for sale 160 M- El Mandara-Elnabawy Elmohands Main ST.,"2,750,000 EGP",El Mandara,3,1,160,9,Super Lux,,2017,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5175246-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5205398,Apartments For sale in Al Thalathen St,"2,000,000 EGP",El Mandara,3,1,120,17,Super Lux,Other,2010,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5205398-for-sale-alexandria-el-mandara-al-thalathen-st/
EG-5152809,Apartments For sale in Malak Hefni St.,"2,350,000 EGP",El Mandara,3,1,140,15,Super Lux,Main Street,1999,Cash,Building Developer,Ahmed Zain,https://aqarmap.com.eg/en/listing/5152809-for-sale-alexandria-el-mandara-shr-mlk-hfny/
EG-5155959,Apartment for sale 145 M- Mandara Bahri,"1,700,000 EGP",El Mandara,3,1,145,19,Super Lux,Main Street,2014,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5155959-for-sale-alexandria-el-mandara-alex-el-mandara-bahri-sidi-kamal-st/
EG-5194971,,"1,650,000 EGP",El Mandara,3,1,120,13,Super Lux,Sea View,2010,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5194971-for-sale-alexandria-el-mandara-alex-el-mandara-bahri-sidi-kamal-st/
EG-5124119,Apartments For sale in Gamal Abdel Nasser St.,"3,500,000 EGP",El Mandara,3,1,160,5,Extra Super Lux,Main Street,1995,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5124119-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5084454,Apartments For sale in Nabawy Al Mohandes St,"2,500,000 EGP",El Mandara,2,1,115,5,Super Lux,Main Street,2007,Cash,Private Owner,Hesham,https://aqarmap.com.eg/en/listing/5084454-for-sale-alexandria-el-mandara-nabawy-al-mohandes-st/
EG-5162531,"Residential Unit for Sale, 105 sqm in Mandara, Steps from the Sea","2,250,000 EGP",El Mandara,3,1,105,3,Super Lux,Main Street,2018,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5162531-for-sale-alexandria-el-mandara-tryq-ljysh/
EG-5143946,Apartments For sale in Malak Hefni St.,"2,500,000 EGP",El Mandara,3,2,150,12,Super Lux,Main Street,2012,Cash,Building Developer,Ahmed Zain,https://aqarmap.com.eg/en/listing/5143946-for-sale-alexandria-el-mandara-shr-mlk-hfny/
EG-5088917,Apartment,"2,880,000 EGP",El Mandara,3,3,160,5,Extra Super Lux,Side Street,2011,Cash,Private Owner,Alaa Hawash,https://aqarmap.com.eg/en/listing/5088917-for-sale-alexandria-el-mandara-nabawy-al-mohandes-st/
"12,609 EGP/M²",Apartments For sale in Nabawy Al Mohandes St,"1,450,000 EGP",El Mandara,3,1,115,9,Super Lux,"CBE 8% Initiative, Commercial Financing",Main Street,2012,Cash,احمد خضر,https://aqarmap.com.eg/en/listing/5201223-for-sale-alexandria-el-mandara-nabawy-al-mohandes-st/
EG-5128715,Apartment for sale - Mandara - area of 170 square meters,"2,250,000 EGP",El Mandara,3,1,170,1,Lux,Main Street,2005,Cash,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/5128715-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5158482,Apartments For sale in Sidi Kamal St.,"4,400,000 EGP",El Mandara,3,1,175,16,Super Lux,Other,2013,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5158482-for-sale-alexandria-el-mandara/
EG-5152823,شقة للبيع 220م المندرة( طريق الجيش),"8,000,000 EGP",El Mandara,4,2,220,6,Super Lux,Sea View,1985,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5152823-for-sale-alexandria-el-mandara-tryq-ljysh/
EG-5164719,"Residential Unit for Sale, 130 sqm Net - Mandara Bahary","3,000,000 EGP",El Mandara,2,1,130,4,Super Lux,Main Street,2006,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5164719-for-sale-alexandria-el-mandara-alex-el-mandara-bahri-sidi-kamal-st/
EG-5147247,شقه للبيع الدور 11 أسانسير تشطيب سوبر لوكس 3غرف وصاله قطعه ونصف,"900,000 EGP",El Mandara,3,1,100,11,Super Lux,Side Street,2003,Cash,Broker,,https://aqarmap.com.eg/en/listing/5147247-for-sale-alexandria-el-mandara-branched-from-al-sokari-st/
EG-5163047,شقة فاخرة بفيلا مفتوح ورؤية بحرية في المندرة,"3,000,000 EGP",El Mandara,3,1,135,13,Super Lux,Other,2006,Cash,Broker,,https://aqarmap.com.eg/en/listing/5163047-for-sale-alexandria-el-mandara/
EG-5162441,: شقة سوبر لوكس للبيع في المندرة قبلي - فرصة لا تعوض!,"330,000 EGP",El Mandara,2,1,100,Ground,Super Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5162441-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5147331,شقه للبيع في المندره بحري,"2,850,000 EGP",El Mandara,3,1,165,Ground,Super Lux,Main Street,2023,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5147331-for-sale-alexandria-el-mandara-alex-el-mandara-bahri/
EG-5159472,شقة تمليك بموقع ممتاز في مندرة بحري – فرصة رائعة!,"2,350,000 EGP",El Mandara,3,1,140,15,Super Lux,Other,2017,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5159472-for-sale-alexandria-el-mandara-shr-mlk-hfny/
EG-5163239,شقة رائعة للبيع بالمندرة قبلي - كود 06633,"700,000 EGP",El Mandara,2,1,75,3,Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5163239-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5143115,شقه لقطه للبيع سوبر لوكس 60 م,"330,000 EGP",El Mandara,2,1,60,8,Super Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5143115-for-sale-alexandria-el-mandara/
EG-5150085,شقة للبيع في بانوراما 12,"2,500,000 EGP",El Mandara,3,2,150,12,Lux,Main Street,2012,Cash or Installments,Broker,,https://aqarmap.com.eg/en/listing/5150085-for-sale-alexandria-el-mandara-shr-mlk-hfny/
EG-5147078,شقه للبيع في المندره,"850,000 EGP",El Mandara,2,1,100,Ground,Super Lux,Main Street,2023,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5147078-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5152227,شقة تمليك للبيع في اسكندرية - على شارع 30 الجديد,"850,000 EGP",El Mandara,3,2,120,6,Super Lux,Side Street,2005,Cash,Broker,,https://aqarmap.com.eg/en/listing/5152227-for-sale-alexandria-el-mandara-shr-30/
EG-5136804,شقه للبيع 150 متر,"1,950,000 EGP",El Mandara,3,2,150,12,Super Lux,Other,2009,Cash,Broker,,https://aqarmap.com.eg/en/listing/5136804-for-sale-alexandria-el-mandara/
EG-5155079,شقة للبيع في المندرة بمساحة 110 متر,"2,500,000 EGP",El Mandara,2,1,110,6,Super Lux,Other,2002,Cash,Broker,,https://aqarmap.com.eg/en/listing/5155079-for-sale-alexandria-el-mandara-alex-el-mandara-bahri/
EG-5136133,شقة للبيع بالاسكندرية المندرة 220 متر,"4,500,000 EGP",El Mandara,3,2,220,9,Super Lux,Other,2010,Cash,Broker,,https://aqarmap.com.eg/en/listing/5136133-for-sale-alexandria-el-mandara/
EG-5159841,شقة للبيع بالمندرة بحري,"2,700,000 EGP",El Mandara,3,1,130,3,Super Lux,Other,2000,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5159841-for-sale-alexandria-el-mandara-alex-el-mandara-bahri/
EG-5145528,شقه للبيع,"3,950,000 EGP",El Mandara,2,2,115,9,Super Lux,Other,2024,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5145528-for-sale-alexandria-el-mandara/
EG-5145532,شقه للبيع,"650,000 EGP",El Mandara,2,1,95,4,Super Lux,Other,2024,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5145532-for-sale-alexandria-el-mandara/
EG-5149919,شقة تمليك للبيع في المندرة بجوار كلية الدراسات الإسلامية ????,"1,100,000 EGP",El Mandara,2,1,120,7,Super Lux,Side Street,2006,Cash,Broker,,https://aqarmap.com.eg/en/listing/5149919-for-sale-alexandria-el-mandara/
EG-5145342,شقة للبيع ٤ عرف وصالتين كبار كل صالة قطعتين حمامين حمام كبير وحمام صغير مطبخ,"900,000 EGP",El Mandara,4,2,160,1,Extra Super Lux,Main Street,2002,Cash,Broker,,https://aqarmap.com.eg/en/listing/5145342-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5147146,شقة للبيع دور خامس اسانسير.برج ١٨ دور .. ١٣٥متر ٣ غرفة. ٣ريسبشن ٢ حمام,"2,500,000 EGP",El Mandara,3,2,135,5,Super Lux,Side Street,2000,Cash,Broker,,https://aqarmap.com.eg/en/listing/5147146-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5126184,امتلك شقتك الان بموقع متمييز ??,"2,200,000 EGP",El Mandara,3,1,110,16,Lux,Other,2012,Cash,Broker,,https://aqarmap.com.eg/en/listing/5126184-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5140869,شقة للبيع بالاسكندريه 125 متر,"1,600,000 EGP",El Mandara,2,1,125,16,Super Lux,Sea View,2013,Cash,Broker,,https://aqarmap.com.eg/en/listing/5140869-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5141756,شقه تصلح سكني او اداري بالمندره,"6,500,000 EGP",El Mandara,2,1,70,Ground,Lux,Other,2012,Cash,Broker,,https://aqarmap.com.eg/en/listing/5141756-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5129938,شقه للبيع شارع النبوي المهندس,"1,250,000 EGP",El Mandara,2,1,110,9,Super Lux,Side Street,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5129938-for-sale-alexandria-el-mandara-nabawy-al-mohandes-st/
EG-5135814,شقه للبيع المندره بحر السكة,"2,350,000 EGP",El Mandara,3,1,135,13,Super Lux,Other,2020,Cash or Installments,Broker,,https://aqarmap.com.eg/en/listing/5135814-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5150285,شقة للبيع,"320,000 EGP",El Mandara,2,1,90,8,Lux,Side Street,1994,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5150285-for-sale-alexandria-el-mandara-mohammed-ateya-st/
EG-5118836,شقة للبيع بالاسكندرية المندرة 160 متر,"900,000 EGP",El Mandara,4,2,160,1,Extra Super Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5118836-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5139234,شقه لقطه للبيع سوبر لوكس,"730,000 EGP",El Mandara,2,1,90,14,Super Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5139234-for-sale-alexandria-el-mandara-mohammed-ateya-st/
EG-5126073,شقه للبيع في المندره,"1,150,000 EGP",El Mandara,3,1,125,8,Super Lux,Main Street,2017,Cash,Broker,,https://aqarmap.com.eg/en/listing/5126073-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5141425,شقه للبيع بالاسكندريه 135 متر,"2,500,000 EGP",El Mandara,3,1,135,13,Super Lux,Other,2000,Cash,Broker,,https://aqarmap.com.eg/en/listing/5141425-for-sale-alexandria-el-mandara-shr-jml-bd-lnsr/
EG-5129010,شقه تصلح سكني او اداري بالمندره,"650,000 EGP",El Mandara,2,1,70,Ground,Lux,Other,2017,Cash,Broker,,https://aqarmap.com.eg/en/listing/5129010-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5130901,شقه ٧٣ متر للبيع في عمارات جرين هاوس بالمندره بالإسكندرية,"700,000 EGP",El Mandara,2,1,73,11,Super Lux,Other,2024,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5130901-for-sale-alexandria-el-mandara/
EG-5142079,شقة للبيع 90 متر المندرة,"750,000 EGP",El Mandara,2,1,90,9,Super Lux,Side Street,2010,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5142079-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5139415,شقه رووعه بالتهويه و التشطيب للبيع,"765,000 EGP",El Mandara,2,1,90,9,Extra Super Lux,Other,2000,Cash,Broker,,https://aqarmap.com.eg/en/listing/5139415-for-sale-alexandria-el-mandara-alex-el-mandara-qebli/
EG-5128436,البيع لدواعي السفر شقه١٢٥متر تهويه ممتازه ومشمسه للبيع المندره قبلي,"1,200,000 EGP",El Mandara,3,1,125,8,Super Lux,Other,2017,Cash,Broker,,https://aqarmap.com.eg/en/listing/5128436-for-sale-alexandria-el-mandara-nabawy-al-mohandes-st/
EG-5141225,شقه للبيع لاصحاب الذوق الراقي والمساحات الكبيره والفيول مفتوح بالاسكندريه,"4,500,000 EGP",El Mandara,3,2,220,9,Super Lux,Other,2010,Cash,Broker,,https://aqarmap.com.eg/en/listing/5141225-for-sale-alexandria-el-mandara/
EG-5133714,شقه للبيع بالاسكندريه المندره تانى نمره من البحر,"2,500,000 EGP",El Mandara,2,1,100,6,Super Lux,Other,2002,Cash,Broker,,https://aqarmap.com.eg/en/listing/5133714-for-sale-alexandria-el-mandara-alex-el-mandara-bahri/
EG-5130168,شقه للبيع لاصحاب الذوق الراقي والمساحات الكبيره والفيول مفتوح مباني 2010,"4,500,000 EGP",El Mandara,3,2,220,9,Extra Super Lux,Other,2010,Cash,Broker,,https://aqarmap.com.eg/en/listing/5130168-for-sale-alexandria-el-mandara/
EG-5127262,للبيع او للبدل بشاليه بالعين السخنة,"2,500,000 EGP",El Mandara,3,1,120,8,Super Lux,Other,2015,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5127262-for-sale-alexandria-el-mandara-alex-el-mandara-bahri/
EG-5139404,شقه لقطه للبيع سوبر لوكس,"850,000 EGP",El Mandara,3,1,120,13,Super Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5139404-for-sale-alexandria-el-mandara/
EG-5142971,شقه لقطه للبيع سوبر لوكس المندرة,"730,000 EGP",El Mandara,2,1,90,14,Super Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5142971-for-sale-alexandria-el-mandara-mohammed-ateya-st/
EG-5113857,شقة تمليك الدور السادس أسانسير وليس الأخير والدور شقتين,"1,650,000 EGP",El Mandara,2,1,110,6,Super Lux,Other,2003,Cash,Broker,,https://aqarmap.com.eg/en/listing/5113857-for-sale-alexandria-el-mandara-alex-el-mandara-bahri/
