Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5234858,Apartments For sale in Eid Canal St.,"650,000 EGP",Victorya,3,1,90,4,Super Lux,Side Street,1995,Cash,Private Owner,اسلام محمدمحمد,https://aqarmap.com.eg/en/listing/5234858-for-sale-alexandria-fyktwry-eid-canal-st/
"13,125 EGP/M²",For sale in Victoria,"1,050,000 EGP",Victorya,2,1,80,8,Lux,"CBE 3% Initiative, CBE 8% Initiative, Commercial Financing",Main Street,1996,Cash,Sherif Salama,https://aqarmap.com.eg/en/listing/4905282-for-sale-alexandria-fyktwry-ibn-salamaa-st/
EG-4948455,Apartments For sale in El Saa'ah Sq,"1,300,000 EGP",Victorya,3,1,130,1,Lux,Side Street,2007,Cash,Private Owner,محمد نبيل,https://aqarmap.com.eg/en/listing/4948455-for-sale-alexandria-fyktwry-al-saaeh-sq-victoria/
EG-4977095,Apartment for sale - Victoria - Area 120 meters,"1,600,000 EGP",Victorya,3,1,120,12,Super Lux,Main Street,2022,Cash,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/4977095-for-sale-alexandria-fyktwry-el-galaa-st/
EG-5220423,Apartments For sale in Abd Al Salam Zouhni St.,"2,300,000 EGP",Victorya,3,2,145,10,Super Lux,Other,1990,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5220423-for-sale-alexandria-fyktwry-abd-al-salam-zouhni-st/
EG-5122166,Apartments For sale in El Saa'ah Sq,"850,000 EGP",Victorya,2,1,120,1,Super Lux,Main Street,1990,Cash,Private Owner,drkhaled hessain,https://aqarmap.com.eg/en/listing/5122166-for-sale-alexandria-fyktwry-al-saaeh-sq-victoria/
EG-4942975,Apartment for sale 140 m Victoria (Al-Galaa Street),"2,750,000 EGP",Victorya,3,1,140,5,Super Lux,Main Street,2013,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4942975-for-sale-alexandria-fyktwry-el-galaa-st/
EG-5165462,Apartment for sale - Victoria - area 60 full meters,"850,000 EGP",Victorya,2,1,60,6,Super Lux,Other,2005,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/5165462-for-sale-alexandria-fyktwry-shr-jml-bd-lnsr/
EG-4841302,Apartment for sale 250 m Al-Sa'aa (Awlyaa elrahman st.),"2,800,000 EGP",Victorya,4,2,250,3,Lux,Other,1990,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4841302-for-sale-alexandria-fyktwry-al-saaeh-sq-victoria/
EG-4985056,Apartment for sale - Victoria - Area 110 meters,"1,850,000 EGP",Victorya,3,1,110,12,Super Lux,Main Street,2022,Installments,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/4985056-for-sale-alexandria-fyktwry-el-galaa-st/
