Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5165424,امتلك الآن وحدتك بمساحة 120م خطوات من شارع أبو قير - جناكليس,"2,400,000 EGP",Ganaklis,2,1,120,1,Super Lux,Main Street,2004,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5165424-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5133829,Apartments For sale in Abou Quer St - El Horeya Rd,"2,300,000 EGP",Ganaklis,3,1,145,13,Super Lux,Other,2008,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5133829-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-4995998,Apartments For sale in Abou Quer St - El Horeya Rd,"4,900,000 EGP",Ganaklis,4,3,290,2,Lux,Side Street,2020,Cash,Building Developer,,https://aqarmap.com.eg/en/listing/4995998-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5162198,Apartments For sale in Abou Quer St - El Horeya Rd,"2,250,000 EGP",Ganaklis,3,1,140,15,Super Lux,Other,2008,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5162198-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5189523,Licensed apartment for sale 155 m Janaklis (Directly on the tram),"3,000,000 EGP",Ganaklis,3,2,155,1,Super Lux,Other,1998,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5189523-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5188547,Apartments For sale in Abou Quer St - El Horeya Rd,"6,500,000 EGP",Ganaklis,4,3,360,2,Super Lux,Side Street,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5188547-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-4996164,Apartments For sale in Abou Quer St - El Horeya Rd,"2,500,000 EGP",Ganaklis,2,1,135,2,Lux,Side Street,2020,Cash,Building Developer,,https://aqarmap.com.eg/en/listing/4996164-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5153209,Apartment for sale 250 m Gianaclis (Abu Qir Street),"6,450,000 EGP",Ganaklis,3,3,250,3,Super Lux,Main Street,2006,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5153209-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5080747,"Apartment for sale 260 m Jnaklis (Abu Qir St.) - 6,500,000 EGP","6,500,000 EGP",Ganaklis,4,3,260,5,Super Lux,Other,2009,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5080747-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-4996137,Apartments For sale in Abou Quer St - El Horeya Rd,"2,900,000 EGP",Ganaklis,3,2,155,2,Lux,Side Street,2020,Cash,Building Developer,,https://aqarmap.com.eg/en/listing/4996137-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5091729,Apartments For sale in Abou Quer St - El Horeya Rd,"3,300,000 EGP",Ganaklis,3,1,128,5,Super Lux,Main Street,2017,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5091729-for-sale-alexandria-ganaklis/
EG-5195805,Apartment for sale 227 m Gianaclis (Abu Qir Street) Brand Tower,"9,600,000 EGP",Ganaklis,3,3,227,11,Super Lux,Main Street,2016,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5195805-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5165282,"Very Special Apartment for Sale, 200 sqm on Mortada Street – Janaklis","4,250,000 EGP",Ganaklis,3,2,200,8,Super Lux,Main Street,2011,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5165282-for-sale-alexandria-ganaklis-shr-mrtdy-bsh/
EG-5206108,Apartment for sale 145 M- Janaklis-Open view,"4,700,000 EGP",Ganaklis,3,3,145,12,Super Lux,Other,2016,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5206108-for-sale-alexandria-ganaklis-shr-mrtdy-bsh/
EG-5174416,Apartments For sale in Mortada Basha St,"3,000,000 EGP",Ganaklis,3,1,165,13,Super Lux,Other,2011,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5174416-for-sale-alexandria-ganaklis-shr-mrtdy-bsh/
EG-5114704,Apartment for sale 155 m Janaklis,"3,500,000 EGP",Ganaklis,3,2,155,4,Extra Super Lux,Main Street,2001,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5114704-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5196324,Apartments For sale in Abou Quer St - El Horeya Rd,"2,200,000 EGP",Ganaklis,3,1,115,14,Extra Super Lux,Main Street,2006,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5196324-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
EG-5068816,Apartment for sale 125 m Janaklis (steps from Abu Qir Street),"2,500,000 EGP",Ganaklis,2,1,125,10,Super Lux,Main Street,1995,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5068816-for-sale-alexandria-ganaklis-shr-bw-qyr-tryq-lhry/
