Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5188520,Apartments For sale in Alex West Compound - Barons,"7,333,000 EGP",King Maryot,3,3,178,3,Semi Finished,Garden,2027,Cash or Installments,Broker,Damac real estate,https://aqarmap.com.eg/en/listing/5188520-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-5188546,Apartments For sale in Alex West Compound - Barons,"11,454,000 EGP",King Maryot,4,3,278,5,Semi Finished,Main Street,2024,Cash or Installments,Broker,Damac real estate,https://aqarmap.com.eg/en/listing/5188546-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-5175212,Ground apartment with garden for sale 153 m King Mariout (Makani),"3,075,000 EGP",King Maryot,3,2,153,Ground,Semi Finished,Other,2024,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5175212-for-sale-alexandria-king-maryot-compounds-royal-residence-al-halawany/
EG-5205651,Apartments For sale in Alex West Compound - Barons,"12,152,000 EGP",King Maryot,3,3,179,4,Super Lux,Garden,2025,Cash or Installments,Broker,Damac real estate,https://aqarmap.com.eg/en/listing/5205651-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-5181512,Apartment with Garden For sale in Alex West Compound - Barons,"14,148,000 EGP",King Maryot,3,3,173,Ground,Super Lux,Garden,2025,Cash or Installments,Broker,Damac real estate,https://aqarmap.com.eg/en/listing/5181512-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-5165188,Apartments For sale in Alex West Compound - Barons,"4,800,000 EGP",King Maryot,2,2,133,4,Semi Finished,Other,2027,Installments,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5165188-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-4894798,Apartments For sale in Alex West Compound - Barons,"7,440,000 EGP",King Maryot,3,3,184,5,Semi Finished,Main Street,2025,Installments,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/4894798-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-5203047,Apartments For sale in Alex West Compound - Barons,"10,391,000 EGP",King Maryot,2,2,154,3,Super Lux,Garden,2023,Cash or Installments,Broker,Damac real estate,https://aqarmap.com.eg/en/listing/5203047-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-5202496,Apartment for sale 160m Alex West Compound,"7,500,000 EGP",King Maryot,3,2,160,Ground,Extra Super Lux,Garden,2005,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5202496-for-sale-alexandria-king-maryot-compounds-alex-west/
EG-5174872,Ground apartment with garden for sale 175 m King Mariout (Makani),"3,350,000 EGP",King Maryot,3,2,175,Ground,Semi Finished,Other,2024,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5174872-for-sale-alexandria-king-maryot-compounds-royal-residence-al-halawany/
