Source.Name,Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
properties-bakoos1.csv,EG-4898071,Apartment for sale 140 m Fleming (Tamazen st.),"2,400,000 EGP",Bakoos,3,2,140,4,Super Lux,Other,2010,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4898071-for-sale-alexandria-bakoos-tomazen-st/
properties-bakoos1.csv,EG-4805699,Apartment for sale 110 m Fleming (Ibn Firnas St.),"1,750,000 EGP",Bakoos,2,1,110,12,Extra Super Lux,Other,2013,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4805699-for-sale-alexandria-bakoos-ibn-frnas-st/
properties-bakoos1.csv,EG-5170426,شقة للبيع في شارع الإذاعة,"2,500,000 EGP",Bakoos,3,2,140,15,Extra Super Lux,Other,2011,Cash,Broker,,https://aqarmap.com.eg/en/listing/5170426-for-sale-alexandria-bakoos/
properties-bakoos1.csv,EG-5170005,شقة للبيع في باكوس بحري,"750,000 EGP",Bakoos,3,1,130,1,Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5170005-for-sale-alexandria-bakoos/
properties-bakoos1.csv,EG-5145994,موجود شقه للبيع,"320,000 EGP",Bakoos,2,1,55,6,Super Lux,Other,2025,Cash,Broker,,https://aqarmap.com.eg/en/listing/5145994-for-sale-alexandria-bakoos/
properties-bakoos1.csv,EG-4967051,Apartment for sale 165 m Fleming (Tamazeen st.),"2,500,000 EGP",Bakoos,3,2,165,19,Super Lux,Other,2012,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4967051-for-sale-alexandria-bakoos-tomazen-st/
properties-bakoos1.csv,EG-5186436,شقة للبيع في باكوس,"380,000 EGP",Bakoos,2,1,60,6,Lux,Main Street,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5186436-for-sale-alexandria-bakoos/
properties-bakoos1.csv,EG-5184329,شقة للبيع في باكوس - شارع الثقيفة,"650,000 EGP",Bakoos,2,1,75,6,Super Lux,Other,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5184329-for-sale-alexandria-bakoos/
properties-bakoos1.csv,EG-5190594,شقة سكنية لمحبي الهدوء والخصوصية للبيع,"850,000 EGP",Bakoos,3,1,115,5,Super Lux,Main Street,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5190594-for-sale-alexandria-bakoos/
properties-bakoos1.csv,EG-5184450,شقة للبيع في باكوس بموقع متميز,"1,250,000 EGP",Bakoos,6,1,120,9,Semi Finished,Main Street,2020,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5184450-for-sale-alexandria-bakoos/
