Source.Name,Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
properties-mansheya1.csv,EG-5151588,شقة للبيع في السبع بنات - متفرع من قائد جوهر، فرصة لا تفوت!,"600,000 EGP",Mansheya,2,1,90,7,Lux,Other,2013,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5151588-for-sale-alexandria-mansheya-el-sabaa-banat-st/
properties-mansheya1.csv,EG-4978126,Apartments For sale in Ali Bek El-Masry St,"5,750,000 EGP",Mansheya,3,2,180,7,Extra Super Lux,Main Street,2008,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/4978126-for-sale-alexandria-mansheya-ali-bek-el-masry-st/
properties-mansheya1.csv,EG-5151551,شقة للبيع في المنشيه - فرصة رائعة بسعر مميز!,"2,100,000 EGP",Mansheya,3,1,140,8,Extra Super Lux,Other,2010,Cash,Broker,,https://aqarmap.com.eg/en/listing/5151551-for-sale-alexandria-mansheya-al-gazaar-st/
properties-mansheya1.csv,EG-5047920,Duplex for sale - Al-Mansheya - area 760 meters,"6,500,000 EGP",Mansheya,5,4,760,10,Super Lux,Main Street,1997,Cash,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/5047920-for-sale-alexandria-mansheya-france-st/
properties-mansheya1.csv,EG-5141706,شقة للبيع ٣ غرف + صاله ٣ قطع + ٢ حمام + مطبخ شامل الدواليب الخشمينيوم,"1,700,000 EGP",Mansheya,3,2,120,9,Super Lux,Main Street,2002,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5141706-for-sale-alexandria-mansheya-el-sabaa-banat-st/
properties-mansheya1.csv,EG-5166639,شقة مميزة للبيع في المنشية,"1,350,000 EGP",Mansheya,2,1,105,11,Super Lux,Other,2022,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5166639-for-sale-alexandria-mansheya/
properties-mansheya1.csv,EG-5182227,شقة للبيع بمساحة 180 متر في المنشية,"5,750,000 EGP",Mansheya,3,2,180,7,Extra Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5182227-for-sale-alexandria-mansheya/
properties-mansheya1.csv,EG-5194311,شقة 180 متر، تاني نمره من البحر في المنشية.,"5,750,000 EGP",Mansheya,3,2,180,7,Super Lux,Other,2000,Cash,Broker,,https://aqarmap.com.eg/en/listing/5194311-for-sale-alexandria-mansheya/
properties-mansheya1.csv,EG-5163555,فرصة رائعة للبيع في المنشية!,"950,000 EGP",Mansheya,3,1,120,7,Super Lux,Other,2006,Cash,Broker,,https://aqarmap.com.eg/en/listing/5163555-for-sale-alexandria-mansheya-al-gazaar-st/
properties-mansheya1.csv,EG-5170110,شقة للبيع في المنشيه,"2,100,000 EGP",Mansheya,3,1,140,8,Super Lux,Other,2010,Cash,Broker,,https://aqarmap.com.eg/en/listing/5170110-for-sale-alexandria-mansheya/
